ID	CHARACTER_ID	GROUP	CHARACTER	PINYIN	DOCULECT	RADICAL	PHONETIC	FANQIE	RHYME	CHAPTER	IMAGE
1324	w0340190	1180	𢓱	𢓱	Old_Chinese	彳	夆		九	v04	076b-08
1325	w0340200	1181	㣤	㣤	Old_Chinese	彳	戔	慈衍	四	v04	076b-09
1326	w0340210	1182	徬	páng	Old_Chinese	彳	旁	蒲浪	十	v04	076b-10
1327	w0340220	1183	徯	xī	Old_Chinese	彳	奚	胡計	六	v04	076b-11
1328	w0340221	1183	蹊	qī	Old_Chinese					v04	076b-12
1329	w0340230	1184	待	dài	Old_Chinese	彳	寺	徒在	一	v04	076b-13
1330	w0340240	1185	㣙	㣙	Old_Chinese	彳	由		三	v04	077a-01
1331	w0340250	1186	徧	biàn	Old_Chinese	彳	扁	比薦	二	v04	077a-02
1332	w0340260	1187	徦	jiǎ	Old_Chinese	彳	叚	古雅	五	v04	077a-03
1333	w0340270	1188	𢓴	𢓴	Old_Chinese				五	v04	077a-04
1334	w0340271	1188	𢓇	𢓇	Old_Chinese					v04	077a-05
1335	w0340272	1188	𨓤	𨓤	Old_Chinese					v04	077a-06
1336	w0340280	1189	後	hòu	Old_Chinese				四	v04	077a-07
1337	w0340281	1189	𨒥	𨒥	Old_Chinese					v04	077a-08
1338	w0340290	1190	徲	tí	Old_Chinese	彳	犀	杜兮	五	v04	077a-09
1339	w0340300	1191	很	hěn	Old_Chinese	彳	𥃩		三	v04	077a-10
1340	w0340310	1192	㣫	㣫	Old_Chinese	彳	重	之隴	九	v04	077a-11
1341	w0340320	1193	得	dé	Old_Chinese	彳	䙷	多則	一	v04	077a-12
1342	w0340321	1193	㝵	㝵	Old_Chinese				見	v04	077a-13
1343	w0340330	1194	徛	jì	Old_Chinese	彳	奇	去奇	七	v04	077a-14
1344	w0340340	1195	𢓈	𢓈	Old_Chinese	彳	勻		二	v04	077a-15
1345	w0340350	1196	律	lǜ	Old_Chinese	彳	聿	呂戌	五	v04	077b-01
1346	w0340360	1197	御	yù	Old_Chinese				五	v04	077b-02
1347	w0340361	1197	馭	yù	Old_Chinese					v04	077b-03
1348	w0340370	1198	亍	chù	Old_Chinese			丑玉	三	v04	077b-04
1349	w0350010	1199	廴	yǐn	Old_Chinese				二	v04	077b-05
1350	w0350020	1200	廷	tíng	Old_Chinese	廴	壬	特丁	一	v04	077b-06
1351	w0350030	1201	𢌛	𢌛	Old_Chinese	廴	正	諸盈	一	v04	077b-07
1352	w0350040	1202	建	jiàn	Old_Chinese				四	v04	077b-08
1353	w0360010	1203	㢟	㢟	Old_Chinese				四	v04	077b-09
1354	w0360020	1204	延	yán	Old_Chinese	㢟	厂		六	v04	077b-10
1355	w0370010	1205	行	xíng	Old_Chinese				十	v04	078a-01
1356	w0370020	1206	術	shù	Old_Chinese	行	朮	食聿	五	v04	078a-02
1357	w0370030	1207	街	jiē	Old_Chinese	行	圭	古膎	六	v04	078a-03
1358	w0370040	1208	衢	qú	Old_Chinese	行	瞿	其俱	五	v04	078a-04
1359	w0370050	1209	𧘂	𧘂	Old_Chinese	行	童	昌容	九	v04	078a-05
1360	w0370060	1210	衕	tòng	Old_Chinese	行	周	徒弄	九	v04	078a-06
1361	w0370070	1211	𧗸	𧗸	Old_Chinese	行	戔	才綫	四	v04	078a-07
1362	w0370080	1212	衙	yá	Old_Chinese	行	吾	魚舉	五	v04	078a-08
1363	w0370090	1213	衎	kàn	Old_Chinese	行	干	空旱	四	v04	078a-09
1364	w0370100	1214	𧗳	𧗳	Old_Chinese			黃絢	四	v04	078a-10
1365	w0370101	1214	衒	xuàn	Old_Chinese				二	v04	078b-01
1366	w0370110	1215	𧗿	𧗿	Old_Chinese	行	率	所律	五	v04	078b-02
1367	w0370120	1216	衞	wèi	Old_Chinese				五	v04	078b-03
1368	w0380010	1217	齒	chǐ	Old_Chinese			昌里	一	v04	078b-04
1369	w0380011	1217	𠚒	𠚒	Old_Chinese					v04	078b-05
1370	w0380020	1218	齗	yín	Old_Chinese	齒	斤	魚斤	三	v04	078b-06
1371	w0380030	1219	齔	chèn	Old_Chinese				七	v04	078b-07
1372	w0380040	1220	䶦	䶦	Old_Chinese	齒	責	士革	六	v04	079a-01
1373	w0380050	1221	齜	chái	Old_Chinese	齒	此	仕街	六	v04	079a-02
1374	w0380060	1222	齘	xiè	Old_Chinese			胡介	五	v04	079a-03
1375	w0380070	1223	齞	yǎn	Old_Chinese	齒	只	研繭	六	v04	079a-04
1376	w0380080	1224	𪙊	𪙊	Old_Chinese	齒	兼	五緘	七	v04	079a-05
1377	w0380090	1225	齺	zōu	Old_Chinese	齒	芻	側鳩	四	v04	079a-06
1378	w0380100	1226	齱	zōu	Old_Chinese	齒	取	側鳩	四	v04	079a-07
1379	w0380110	1227	齵	óu	Old_Chinese	齒	禺	五婁	四	v04	079a-08
1380	w0380120	1228	䶥	䶥	Old_Chinese	齒	虘		五	v04	079a-09
1381	w0380130	1229	齬	yǔ	Old_Chinese	齒	吾	魚舉	五	v04	079b-01
1382	w0380140	1230	𪘓	𪘓	Old_Chinese	齒	佐		七	v04	079b-02
1383	w0380150	1231	齤	quán	Old_Chinese	齒	𥸭		四	v04	079b-03
1384	w0380160	1232	齳	yǔn	Old_Chinese	齒	軍	魚吻	三	v04	079b-04
1385	w0380170	1233	齾	yà	Old_Chinese	齒	獻	五轄	五	v04	079b-05
1386	w0380180	1234	䶙	䶙	Old_Chinese	齒	巨	巨主	五	v04	079b-06
1387	w0380190	1235	齯	ní	Old_Chinese	齒	兒		六	v04	079b-07
1388	w0380200	1236	齮	yǐ	Old_Chinese	齒	奇	魚綺	七	v04	079b-08
1389	w0380210	1237	𪗨	𪗨	Old_Chinese	齒	出	仕乙	五	v04	080a-01
1390	w0380220	1238	齰	zé	Old_Chinese	齒	昔	側革	五	v04	080a-02
1391	w0380221	1238	齚	zé	Old_Chinese					v04	080a-03
1392	w0380230	1239	䶢	䶢	Old_Chinese	齒	咸	工咸	七	v04	080a-04
1393	w0380240	1240	齦	kěn	Old_Chinese	齒	𥃩	康很	三	v04	080a-05
1394	w0380250	1241	𪗙	𪗙	Old_Chinese	齒	干	五版	四	v04	080a-06
1395	w0380260	1242	𪘧	𪘧	Old_Chinese	齒	卒		五	v04	080a-07
1396	w0380270	1243	𪗿	𪗿	Old_Chinese	齒	𠛱	盧達	五	v04	080a-08
1397	w0380280	1244	齩	yǎo	Old_Chinese	齒	交	五巧	二	v04	080a-09
1398	w0380290	1245	𪙇	𪙇	Old_Chinese	齒	㞕	千結	二	v04	080a-10
1399	w0380300	1246	𪗾	𪗾	Old_Chinese	齒	吉	赫鎋	五	v04	080a-11
1400	w0380310	1247	䶣	䶣	Old_Chinese	齒	豈	五來	五	v04	080a-12
1401	w0380320	1248	齝	chī	Old_Chinese	齒	台	丑之	一	v04	080a-13
1402	w0380330	1249	齕	hé	Old_Chinese	齒	气	戶骨	五	v04	080a-14
1403	w0380340	1250	𪚁	𪚁	Old_Chinese	齒	聯	力延	四	v04	080a-15
1404	w0380350	1251	齧	niè	Old_Chinese	齒	㓞	五結	五	v04	080a-16
1405	w0380360	1252	齭	chǔ	Old_Chinese	齒	所	創舉	五	v04	080a-17
1406	w0380370	1253	齨	jiù	Old_Chinese			其久	三	v04	080b-01
1407	w0380380	1254	齛	xiè	Old_Chinese	齒	世	私列	五	v04	080b-02
