ID	DOCULECT	CONCEPT	VALUE	SEGMENTS	STRUCTURE	BENZI	CHARACTERS	COGNATE_SET	COGNATE_SETS
6244	Xianggang	I	ŋɔ¹³	ŋ ɔ ¹³	i n t	我	我	1949	0
6245	Xiamen	I	gua⁵³	g u a ⁵³	i m n t	我	我	1949	0
6246	Fuzhou	I	nøyŋ⁵³	n ø y ŋ ⁵³	i n N c t	侬	侬	1951	0
6247	Fuzhou	I	ŋuai	ŋ u a i ⁰	i m n N t	我	我	1949	0
6248	Jian'ou	I	uɛ⁴²	u ɛ ⁴²	m n t	我	我	1949	0
6249	Shantou	I	ua⁵³	u a ⁵³	m n t	我	我	1949	0
6250	Haikou	I	va²¹³	v a ²¹³	i n t	我	我	1949	0
6251	Taibei	I	gua⁵³	g u a ⁵³	i m n t	我	我	1949	0
6252	Nanchang	I	ŋo²¹³	ŋ o ²¹³	i n t	我	我	1949	0
6253	Changsha	I	ŋo⁴¹	ŋ o ⁴¹	i n t	我	我	1949	0
6254	Xiangtan	I	ŋo⁴²	ŋ o ⁴²	i n t	我	我	1949	0
6255	Shexian	I	a³¹	a ³¹	n t	卬	卬	1952	0
6256	Shexian	I	a³⁵	a ³⁵	n t	卬	卬	1952	0
6257	Tunxi	I	a²⁴	a ²⁴	n t	我	我	1949	0
6258	Taiyuan	I	ɣɤ⁵³	ɣ ɤ ⁵³	i n t	我	我	1949	0
6259	Taiyuan	I	æ̃⁵³	æ̃ ∼ ⁵³	n c t	俺	俺	1953	0
6260	Pingyao	I	ŋiᴇ⁵³	ŋ i ᴇ ⁵³	i m n t	我	我	1949	0
6261	Huhehaote	I	vɤ⁵³	v ɤ ⁵³	i n t	我	我	1949	0
6262	Beijing	I	uo²¹⁴	u o ²¹⁴	m n t	我	我	1949	0
6263	Tianjin	I	uo¹³	u o ¹³	m n t	我	我	1949	0
6264	Jinan	I	və⁵⁵	v ə ⁵⁵	i n t	我	我	1949	0
6265	Jinan	I	ŋã⁵⁵	ŋ ã ∼ ⁵⁵	i n c t	俺	俺	1953	0
6266	Qingdao	I	və⁵⁵	v ə ⁵⁵	i n t	我	我	1949	0
6267	Qingdao	I	ɣã⁵⁵	ɣ ã ∼ ⁵⁵	i n c t	俺	俺	1953	0
6268	Nanjing	I	o²¹²	o ²¹²	n t	我	我	1949	0
6269	Hefei	I	ʊ²⁴	ʊ ²⁴	n t	我	我	1949	0
6270	Zhengzhou	I	uo⁵³	u o ⁵³	m n t	我	我	1949	0
6271	Zhengzhou	I	an⁵³	a n ⁵³	n c t	俺	俺	1953	0
6272	Wuhan	I	ŋuo⁴²	ŋ u o ⁴²	i m n t	我	我	1949	0
6273	Wuhan	I	uo⁴²	u o ⁴²	m n t	我	我	1949	0
6274	Chengdu	I	ŋo⁵³	ŋ o ⁵³	i n t	我	我	1949	0
6275	Guiyang	I	ŋo⁴²	ŋ o ⁴²	i n t	我	我	1949	0
6276	Kunming	I	o⁵³	o ⁵³	n t	我	我	1949	0
6277	Haerbin	I	uo²¹³	u o ²¹³	m n t	我	我	1949	0
6278	Xi'an	I	ŋɤ⁵³	ŋ ɤ ⁵³	i n t	我	我	1949	0
6279	Yinchuan	I	və⁵³	v ə ⁵³	i n t	我	我	1949	0
6280	Yinchuan	I	ə⁵³	ə ⁵³	n t	我	我	1949	0
6281	Lanzhou	I	və⁴⁴²	v ə ⁴⁴²	i n t	我	我	1949	0
6282	Xining	I	nɔ⁵³	n ɔ ⁵³	i n t	我	我	1949	0
6283	Wulumuqi	I	vɤ⁵¹	v ɤ ⁵¹	i n t	我	我	1949	0
658	Shanghai	Mid-autumn Festival	ʦoŋ⁵³⁻⁵⁵ʨʰiɤ⁵³⁻²¹	ts o ŋ ⁵³/⁵⁵ + tɕʰ i ɤ ⁵³/²¹	i n c t + i m n t	中秋	中秋	150	0
659	Shanghai	Mid-autumn Festival	ʦoŋ⁵³⁻⁵⁵ʨʰiɤ⁵³⁻³³ʨiɪʔ⁵⁻²¹	ts o ŋ ⁵³/⁵⁵ + tɕʰ i ɤ ⁵³/³³ + tɕ i ɪ ʔ ⁵/²¹	i n c t + i m n t + i m n c t	中秋节	中秋节	151	0
660	Suzhou	Mid-autumn Festival	po⁵ŋəʔ³pø⁵¹³⁻²¹	p o ⁵ + ŋ ə ʔ ³ + p ø ⁵¹³/²¹	i n t + i n c t + i n t	八月半	八月半	152	0
