ID	DOCULECT	DOCULECT_IN_SOURCE	CONCEPT	CONCEPTICON_ID	STEDT_ID	VALUE	SEGMENTS	SOURCE
181175	Jianchuan	Bai (Jianchuan)	spring (water)		181175	kõ⁴²ɕui³³kṽ⁵⁵	k õ ∼ ⁴² ɕ u i ³³ k ṽ ⁵⁵ 	Sun1991
221184	Dali	Bai (Dali)	square		221184	ɕi44kv⁴⁴ɕi⁴⁴mi⁴²	ɕ i 44 k v ⁴⁴ ɕ i ⁴⁴ m i ⁴² 	Sun1991
221185	Bijiang	Bai (Bijiang)	square		221185	feʴ³³	f eʴ ³³ 	Sun1991
221210	Jianchuan	Bai (Jianchuan)	square		221210	ɕi⁴⁴mi⁴²ɕi⁴⁴kv⁴⁴	ɕ i ⁴⁴ m i ⁴² ɕ i ⁴⁴ k v ⁴⁴ 	Sun1991
208995	Dali	Bai (Dali)	stand		208995	tsɯ³¹	ts ɯ ³¹ 	Sun1991
208996	Bijiang	Bai (Bijiang)	stand		208996	ji⁴²	j i ⁴² 	Sun1991
209021	Jianchuan	Bai (Jianchuan)	stand		209021	tsɯ³¹	ts ɯ ³¹ 	Sun1991
180180	Dali	Bai (Dali)	star		180180	ɕeʴ³⁵	ɕ eʴ ³⁵ 	Sun1991
180181	Bijiang	Bai (Bijiang)	star		180181	ɕɑ̃⁵⁵	ɕ ɑ̃ ∼ ⁵⁵ 	Sun1991
180206	Jianchuan	Bai (Jianchuan)	star		180206	ɕɛ̃⁵⁵	ɕ ɛ̃ ∼ ⁵⁵ 	Sun1991
216441	Dali	Bai (Dali)	steal		216441	tɑ³¹	t ɑ ³¹ 	Sun1991
216442	Bijiang	Bai (Bijiang)	steal		216442	die⁴²	d i e ⁴² 	Sun1991
216467	Jianchuan	Bai (Jianchuan)	steal		216467	tɑ³¹	t ɑ ³¹ 	Sun1991
182016	Dali	Bai (Dali)	steel		182016	kɑ³⁵the⁴⁴	k ɑ ³⁵ th e ⁴⁴ 	Sun1991
182017	Bijiang	Bai (Bijiang)	steel		182017	tɕhi⁴⁴lo²¹	tɕh i ⁴⁴ l o ²¹ 	Sun1991
182042	Jianchuan	Bai (Jianchuan)	steel		182042	kɑ̃³³	k ɑ̃ ∼ ³³ 	Sun1991
203742	Dali	Bai (Dali)	steelyard		203742	tɕhue⁵⁵	tɕh u e ⁵⁵ 	Sun1991
203743	Bijiang	Bai (Bijiang)	steelyard		203743	tɕhui⁵⁵	tɕh u i ⁵⁵ 	Sun1991
203768	Jianchuan	Bai (Jianchuan)	steelyard		203768	tɕhuĩ⁵⁵	tɕh u ĩ ∼ ⁵⁵ 	Sun1991
222102	Dali	Bai (Dali)	steep		222102	tou³¹	t o u ³¹ 	Sun1991
222128	Jianchuan	Bai (Jianchuan)	steep		222128	phiɛ⁵⁵	ph i ɛ ⁵⁵ 	Sun1991
222103	Bijiang	Bai (Bijiang)	steep		222103	tɕho⁵⁵bo³³jo²¹	tɕh o ⁵⁵ b o ³³ j o ²¹ 	Sun1991
191349	Dali	Bai (Dali)	stem / stalk		191349	kɑ³¹kuɑ⁴⁴	k ɑ ³¹ k u ɑ ⁴⁴ 	Sun1991
191350	Bijiang	Bai (Bijiang)	stem / stalk		191350	quɑ⁴⁴	q u ɑ ⁴⁴ 	Sun1991
191375	Jianchuan	Bai (Jianchuan)	stem / stalk		191375	kuɑ⁴⁴	k u ɑ ⁴⁴ 	Sun1991
209046	Dali	Bai (Dali)	step / pass over (ditch)		209046	ȵɑ³⁵	ȵ ɑ ³⁵ 	Sun1991
209047	Bijiang	Bai (Bijiang)	step / pass over (ditch)		209047	zɑ̃⁴²	z ɑ̃ ∼ ⁴² 	Sun1991
209072	Jianchuan	Bai (Jianchuan)	step / pass over (ditch)		209072	sɑ⁴²	s ɑ ⁴² 	Sun1991
201855	Dali	Bai (Dali)	stick		201855	kuɑ⁴²	k u ɑ ⁴² 	Sun1991
201856	Bijiang	Bai (Bijiang)	stick		201856	quɑ⁴²	q u ɑ ⁴² 	Sun1991
201881	Jianchuan	Bai (Jianchuan)	stick		201881	kuɑ⁴²	k u ɑ ⁴² 	Sun1991
220139	Jianchuan	Bai (Jianchuan)	sting		220139	tsho⁴⁴	tsh o ⁴⁴ 	Sun1991
220113	Dali	Bai (Dali)	sting		220113	ke³¹	k e ³¹ 	Sun1991
220114	Bijiang	Bai (Bijiang)	sting		220114	tshe⁴⁴	tsh e ⁴⁴ 	Sun1991
225596	Jianchuan	Bai (Jianchuan)	stinky		225596	tshu³¹	tsh u ³¹ 	Sun1991
225570	Dali	Bai (Dali)	stinky		225570	tshu³¹	tsh u ³¹ 	Sun1991
