NUMBER  	PB  	PRNUM  	WORD  	TL  	GX  	EQ  	EG  	JM  	JX  	DS  	ZC  	MZL  	JC  	EY  	HQ  	LP  	QLQ  	YL  	XY  	LBZ  	   
1755	ŋioŋ4  	0	want; need  	jvŋ42  	(tsao21)  	(tsa21)  	(tso42)  	ɲu42  	jõ44  	jŋ44  	ɲiou44  	ɲioŋ55  	  	  	  	  	  	  	  	  	   
1764	dʑɯ2  	0	have (you) (you probably refers to 有)  	jɯ33  	dzi22  	dʑɯ22  	dʑi22  	dʑi22  	tsi33  	tsɯ33  	tsɯ33  	dzǝɯ33  	  	  	  	  	  	  	  	  	   
1793	tʰro4  	0	(wasps) sting  	tʰiu42  	ŋaŋ24  	tʰiu55  	tɕʰio44  	ʈʰo55  	tsʰou44  	tʂʰou44  	ŋa44  	tsʰo44  	  	  	  	  	  	  	  	  	   
1797	drɯ̃1  	0	steam  	dĩ55  	dzẽ12  	diɯ24  	tɕi55  	ʈɯ̃55  	tsǝ̃55  	tʂẽ35  	tsɯ35  	[tsen55]  	  	  	  	  	  	  	  	  	   
1799	trɯ4  	0	weave; knit  	tjɯ42  	tʂi24  	tiɯ55  	tɕi44  	ʈɯ55  	tsi55  	tʂʰɚ̃55  	tsʰi55  	tsʰen55  	  	  	  	  	  	  	  	  	   
1802	tsʰreŋ1  	0	swell  	tʂʰ|er̃55  	|sr.ʰɚ̃55  	tsʰɿ24  	tsʰɛ55  	tʂʰɚ55  	tsʰan55  	tʂʰɚ̃55  	tsʰi55  	tsʰen55  	  	  	  	  	  	  	  	  	   
1803	trɯ2  	0	usse or lean on (a walking stick)  	tiɯ33  	nɛ12  	tiɯ22  	pa21  	ʈɯ22  	tsɯ33  	  	tsɯ33  	tsǝɯ33  	  	  	  	  	  	  	  	  	   
1804	tsrɔ2  	0	cook; boil  	tʂv33  	tsao22  	tɕu22  	tɕu22  	tɕu22  	tsv55  	tʂo33  	tsv33  	tsv33  	  	  	  	  	  	  	  	  	   
1806	dʐuen5?  	0	turn around  	ʐyen21  	zyen42  	tɕyE43  	zyɛ42  	zye42  	tsuen42  	tʂuen42  	tsue42  	tsuan42  	  	  	  	  	  	  	  	  	   
1813	kæ4  	0	catch; capture  	{tɕia42)  	kæ24  	kæ55  	ka44  	ka55  	ka44  	kɚ44  	kɛ44  	kɚ44  	  	  	  	  	  	  	  	  	   
1819	ko5  	0	sit  	kv21  	kao42  	ku43  	kv42  	kv42  	kv42  	ko42  	kv42  	kv42  	  	  	  	  	  	  	  	  	   
1823	ʔo4  	0	(meaning has to be checked)  	-  	ao24  	|'.o55  	(ŋu55tsi22)  	  	ʔv44  	o55  	v55  	(tɕa21oŋ55)  	  	  	  	  	  	  	  	  	   
1829	qʰuæ3/qʰɔ4 (Wang 2006 has qʰuæ3qʰɔ4, probably a mistake, since no bisyllabic form is reflected in the dialects)  	0	leg  	qʰua21  	qʰuæ42  	qʰuæ43  	qʰua42  	ko44['foot']  	kou44  	kou44  	ko44  	kʰuɚ21/ko44  	  	  	  	  	  	  	  	  	   
1852	tree + skin  	0	bark  	djɯ21bi35  	dʐi12bi21  	tree + skin  	tree + skin  	tree + skin  	tsɯ31pe21  	tʂɯ21pe21  	tsɯpe21  	ɕen55pe21  	  	  	  	  	  	  	  	  	   
1858	ŋuen1b  	0	jar  	  	uen12  	ŋui21  	|nguɛ21  	uẽ21  	  	  	ue21  	a55ji21ven21  	  	  	  	  	  	  	  	  	   
1863	qæ5  	0	price  	qa21  	qæ42  	qæ43  	qa423  	qa42  	ka42  	kɚ42  	kɛ42  	kɚ42  	  	  	  	  	  	  	  	  	   
2073	pe1  	0	(meanign has to be checked)  	  	(ŋɯ21ɕi24)  	pi24  	(ŋɯ21ɕi44)  	(ɯ̃21ɕi44)  	  	  	pe35  	pɛ55  	  	  	  	  	  	  	  	  	   
2075	pʰa1  	0	(meaning has to be checked)  	  	pʰa24  	pʰa55  	pʰa44  	(tsõ22qʰo22)  	  	  	pe35  	pɛ55  	  	  	  	  	  	  	  	  	   
2086	mi1b  	0	bamboo piece  	  	mi12  	mi21  	ɲyi21  	(tɕiu44pʰe42)  	  	  	mi21  	(tsu44xo55)  	  	  	  	  	  	  	  	  	   
2105	tsʰji4  	0	paint  	  	tɕʰi24  	tsʰi55  	tsʰi55  	tɕʰi55  	  	  	tɕʰi55  	tɕʰi44  	  	  	  	  	  	  	  	  	   
2109	tsʰu3  	0	stomach  	  	tsʰu42  	tsʰu43  	tsʰu42  	tsʰu42  	  	  	(v42)  	tsʰu21  	  	  	  	  	  	  	  	  	   
2118	kua4  	0	(meaning has to be checked)  	  	kua12  	kua55  	(kui55;i45qɯ22)  	kua55  	  	  	kua55  	kua44  	  	  	  	  	  	  	  	  	   
2121	qʰu1  	0	(meaning has to be checked)  	  	qʰu55  	qʰu24  	qʰu24  	qʰu55  	  	  	kʰu55  	kʰo55  	  	  	  	  	  	  	  	  	   
2124	ŋo3  	0	(xx language) (is this intended?)  	  	ŋo42  	ŋo43  	  	  	  	  	  	oŋ21  	  	  	  	  	  	  	  	  	 
