DOCULECT	SOURCE	CLPA	STRUCTURE	NOTE
Chaozhou	i	i	n	
Chaozhou	ia	i a	m n	
Chaozhou	ie	i e	m n	
Chaozhou	iu	i u	m n	
Chaozhou	iəu	i ə u	m n N	
Chaozhou	ĩ	ĩ ∼	n c	
Chaozhou	ĩã	i ã ∼	m n c	
Chaozhou	ĩẽ	i ẽ ∼	m n c	
Chaozhou	ĩũ	i ũ ∼	m n c	
Chaozhou	u	u	m	
Chaozhou	ua	u a	m n	
Chaozhou	ue	u e	m n	
Chaozhou	ui	u i	m n	
Chaozhou	uai	u a i	m n ŋ	
Chaozhou	ũã	u ã ∼	m n c	
Chaozhou	ũẽ	u ẽ ∼	m n c	
Chaozhou	ũĩ	u ĩ ∼	m n c	
Chaozhou	ũãĩ	u ã i ∼	m n c c	
Chaozhou	am	a m	n c	
Chaozhou	aŋ	a ŋ	n c	
Chaozhou	oŋ	o ŋ	n c	
Chaozhou	eŋ	e ŋ	n c	
Chaozhou	ɯŋ	ɯ ŋ	n c	
Chaozhou	ap	a p	n c	
Chaozhou	ak	a k	n c	
Chaozhou	ok	o k	n c	
Chaozhou	ek	e k	n c	
Chaozhou	ɯk	ɯ k	n c	
Chaozhou	im	i m	n c	
Chaozhou	iem	i e m	m n c	
Chaozhou	iŋ	i ŋ	n c	
Chaozhou	iaŋ	i a ŋ	m n c	
Chaozhou	ioŋ	i o ŋ	m n c	
Chaozhou	ieŋ	i e ŋ	m n c	
Chaozhou	ip	i p	n c	
Chaozhou	iep	i e p	m n c	
Chaozhou	ik	i k	n c	
Chaozhou	iak	i a k	m n c	
Chaozhou	iok	i o k	m n c	
Chaozhou	iek	i e k	m n c	
Chaozhou	uam	u a m	m n c	
Chaozhou	uŋ	u ŋ	n c	
Chaozhou	uaŋ	u a ŋ	m n c	
Chaozhou	ueŋ	u e ŋ	m n c	
Chaozhou	uap	u a p	m n c	
Chaozhou	uk	u k	n c	
Chaozhou	uak	u a k	m n c	
Chaozhou	uek	u e k	m n c	
Chaozhou	aʔ	a ʔ	n c	
Chaozhou	oʔ	o ʔ	n c	
Chaozhou	eʔ	e ʔ	n c	
Chaozhou	oiʔ	o i ʔ	n N c	
Chaozhou	auʔ	a u ʔ	n N c	
Chaozhou	ẽʔ	ẽ ∼ ʔ	n c c	
Chaozhou	iʔ	i ʔ	n c	
Chaozhou	iaʔ	i a ʔ	m n c	
Chaozhou	ieʔ	i e ʔ	m n c	
Chaozhou	iuʔ	i u ʔ	m n c	
Chaozhou	iəuʔ	i ə u ʔ	m n N c	
