ID	CHARACTER	SIMPLIFIED_CHARACTER	PINYIN	DOCULECT	DOCULECT_IN_SOURCE	READING	SEGMENTS	CONTEXT	CONCEPT	COGNATE_CLASS
311	邴	邴	bǐng	Middle_Chinese	MC	pjængX	p j æ ŋ /²	i m n c t	(place name)	156
312	邴	邴	bǐng	Old_Chinese	OC	*praŋʔ	p r a ŋ ʔ	i m n c C	(place name)	156
1675	郜	郜	gào	Middle_Chinese	MC	kowk	k o kʷ /⁴	i n c t	(place name)	838
1676	郜	郜	gào	Old_Chinese	OC	*kˁuk	kˤ u k	i n c	(place name)	838
1951	虢	虢	guó	Middle_Chinese	MC	kwæk	k w æ k /⁴	i m n c t	(place name)	976
1952	虢	虢	guó	Old_Chinese	OC	*kʷˁrak {*[k]ʷˁrak}	kʷˤ r a k	i m n c	(place name)	976
1989	韓	韩	hán	Middle_Chinese	MC	han	ɣ a n /¹	i n c t	(place name)	995
1990	韓	韩	hán	Old_Chinese	OC	*ɡˁar {*[ɡ]ˁar}	gˤ a r	i n c	(place name)	995
3552	魯	鲁	lǔ	Middle_Chinese	MC	luX	l u /²	i n t	(place name)	1777
3553	魯	鲁	lǔ	Old_Chinese	OC	*r.ŋˁaʔ (dial. › *rŋˁ- › *rˁ- › l-)	r ŋˤ a ʔ	P i n c	(place name)	1777
4164	彭	彭	péng	Middle_Chinese	MC	bæng	b æ ŋ /¹	i n c t	(place name)	2083
4165	彭	彭	péng	Old_Chinese	OC	*C.bˁraŋ {*C.[b]ˁraŋ}	/C bˤ r a ŋ	P i m n c	(place name)	2083
4838	商	商	shāng	Middle_Chinese	MC	syang	ɕ a ŋ /¹	i n c t	(place name)	2420
4839	商	商	shāng	Old_Chinese	OC	*s-taŋ	s t a ŋ	p i n c	(place name)	2420
4868	召	召	shào	Middle_Chinese	MC	dzyewX	dʑ e w /²	i n c t	(place name)	2435
4869	召	召	shào	Old_Chinese	OC	*dawʔ {*[d]awʔ}	d a w ʔ	i n c C	(place name)	2435
5276	虒	虒	sī	Middle_Chinese	MC	sje	s j e /¹	i m n t	(place name)	2640
5277	虒	虒	sī	Old_Chinese	OC	*s.le	s l e	P i n	(place name)	2640
5988	羲	羲	xī	Middle_Chinese	MC	xje	x j e /¹	i m n t	(proper name)	2996
5989	羲	羲	xī	Old_Chinese	OC	*ŋ̊aj {*ŋ̊(r)aj}	ŋ̊ a j	i n c	(proper name)	2996
5480	湯	汤	tāng	Middle_Chinese	MC	thang	tʰ a ŋ /¹	i n c t	(proper name:) founder of Shāng dynasty	2742
5481	湯	汤	tāng	Old_Chinese	OC	*l̥ˁaŋ	l̥ˤ a ŋ	i n c	(proper name:) founder of Shāng dynasty	2742
1557	父	父	fǔ	Middle_Chinese	MC	pjuX	p j u /²	i m n t	(respectful suffix in male names)	779
1558	父	父	fǔ	Old_Chinese	OC	*paʔ {*p(r)aʔ}	p a ʔ	i n c	(respectful suffix in male names)	779
2023	漢	汉	hàn	Middle_Chinese	MC	xanH	x a n /³	i n c t	(river name)	1012
2024	漢	汉	hàn	Old_Chinese	OC	*n̥ˁar-s (W dialect: *n̥- › x-, *-r › *-n)	n̥ˤ a r s	i n c S	(river name)	1012
3146	孔	孔	kǒng	Middle_Chinese	MC	khuwngX	kʰ u ŋʷ /²	i n c t	(surname)	1574
3147	孔	孔	kǒng	Old_Chinese	OC	*kʰˁoŋʔ {*[k]ʰˁoŋʔ}	kʰˤ o ŋ ʔ	i n c C	(surname)	1574
5658	吞	吞	tūn	Middle_Chinese	MC	then	tʰ e n /¹	i n c t	(surname)	2831
5659	吞	吞	tūn	Old_Chinese	OC	*l̥ˁən	l̥ˤ ə n	i n c	(surname)	2831
1757	𠃋	𠃋	gōng	Middle_Chinese	MC	kwong	k w o ŋ /¹	i m n c t	(upper) arm	879
1758	𠃋	𠃋	gōng	Old_Chinese	OC	*kʷˁəŋ {*[k]ʷˁəŋ}	kʷˤ ə ŋ	i n c	(upper) arm	879
1759	肱	肱	gōng	Middle_Chinese	MC	kwong	k w o ŋ /¹	i m n c t	(upper) arm	880
1760	肱	肱	gōng	Old_Chinese	OC	*kʷˁəŋ {*[k]ʷˁəŋ}	kʷˤ ə ŋ	i n c	(upper) arm	880
417	操	操	cāo	Middle_Chinese	MC	tshawH	tsʰ a w /³	i n c t	(what is grasped:) principles	209
418	操	操	cāo	Old_Chinese	OC	*tsʰˁawʔ-s {*[tsʰ]ˁawʔ-s}	tsʰˤ a w ʔ s	i n c C S	(what is grasped:) principles	209
5128	獸	兽	shòu	Middle_Chinese	MC	syuwH	ɕ u w /³	i n c t	(wild) animal	2566
5129	獸	兽	shòu	Old_Chinese	OC	*s.tu-s {*s.tu(ʔ)-s}	s t u s	P i n S	(wild) animal	2566
621	踟	踟	chí	Middle_Chinese	MC	drje	ɖ j e /¹	i m n t	*[d]re.[d]ro walk hesitatingly	311
622	踟	踟	chí	Old_Chinese	OC	*dre {*[d]re}	d r e	i m n	*[d]re.[d]ro walk hesitatingly	311
7928	蛛	蛛	zhū	Middle_Chinese	MC	trju	ʈ j u /¹	i m n t	*tre-tro spider	3966
7929	蛛	蛛	zhū	Old_Chinese	OC	*tro	t r o	i m n	*tre-tro spider	3966
4957	升	升	shēng	Middle_Chinese	MC	sying	ɕ i ŋ /¹	i n c t	1/10th of a dǒu 斗	2480
4958	升	升	shēng	Old_Chinese	OC	*s-təŋ	s t ə ŋ	p i n c	1/10th of a dǒu 斗	2480
5728	萬	万	wàn	Middle_Chinese	MC	mjonH	m j o n /³	i m n c t	10000	2866
5729	萬	万	wàn	Old_Chinese	OC	*C.man-s {*C.ma[n]-s}	/C m a n s	P i n c S	10000	2866
6868	億	亿	yì	Middle_Chinese	MC	ʔik	ʔ i k /⁴	i n c t	100000	3436
6869	億	亿	yì	Old_Chinese	OC	*ʔək {*ʔ(r)ək}	ʔ ə k	i n c	100000	3436
7110	酉	酉	yǒu	Middle_Chinese	MC	yuwX	j u w /²	i n c t	10th earthly branch	3557
7111	酉	酉	yǒu	Old_Chinese	OC	*m.ruʔ {*[m].ruʔ}	m r u ʔ	P i n C	10th earthly branch	3557
1931	癸	癸	guǐ	Middle_Chinese	MC	kjwijX	k ɥ/jwi i j /²	i m n c t	10th heavenly stem	966
1932	癸	癸	guǐ	Old_Chinese	OC	*kʷijʔ	kʷ i j ʔ	i n c C	10th heavenly stem	966
6394	戌	戌	xū	Middle_Chinese	MC	swit	s w i t /⁴	i m n c t	11th earthly branch	3199
6395	戌	戌	xū	Old_Chinese	OC	*s.mit {*s.mi[t]}	s m i t	P i n c	11th earthly branch	3199
1979	亥	亥	hài	Middle_Chinese	MC	hojX	ɣ o j /²	i n c t	12th earthly branch	990
1980	亥	亥	hài	Old_Chinese	OC	*ɡˁəʔ {*[ɡ]ˁəʔ}	gˤ ə ʔ	i n C	12th earthly branch	990
7164	余	余	yú	Middle_Chinese	MC	yo	j o /¹	i n t	1sg., prob. a polite form	3584
7165	余	余	yú	Old_Chinese	OC	*la	l a	i n	1sg., prob. a polite form	3584
7710	正	正	zhēng	Middle_Chinese	MC	tsyeng	tɕ e ŋ /¹	i n c t	1st (month)	3857
