ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
477	bridge	1011	BRIDGE
478	vehicle	2167	VEHICLE (CLASSIFIER)
479	train	900	TRAIN
480	car	1111	CAR
481	boat	1844	BOAT
482	airplane	1597	AIRPLANE
483	marketplace		
484	shop	746	SHOP
485	money	1559	MONEY
486	price	657	PRICE
487	bank	1284	BANK
488	interest	2062	INTEREST
489	wages	1122	WAGES
490	paper	648	PAPER
491	pen	794	PEN
492	pencil	2578	PENCIL
493	ink cake	2408	CAKE
494	ink	2643	INK
495	word / character	1599	WORD
496	book	963	BOOK
497	letter	1612	LETTER
498	song	1096	SONG
499	folksong		
500	story / tale	2060	STORY
501	ball	1845	BALL
502	flag	2623	FLAG
503	flute-like instrument (Turkic)	2136	BRASS INSTRUMENT (HORN OR TRUMPET)
504	gong	2502	GONG
505	drum	908	DRUM
506	flute	777	FLUTE
507	mouth organ		
508	bell	2246	BELL
509	medicine	1372	MEDICINE
510	poison	655	POISON
511	language	1307	LANGUAGE
512	voice	1363	VOICE
513	strength	202	STRENGTH
514	courage		
515	thing / matter / event	738	THING
516	surname		
517	name	1405	NAME
518	thing		
519	dream	1920	DREAM (SOMETHING)
520	shadow	2275	SHADOW
521	god / deity	1944	GOD
522	mark		
523	ghost / demon	1175	GHOST
524	soul / spirit	811	SOUL
525	country / nation	1300	COUNTRY
526	means / method		
527	school	673	SCHOOL
528	look	1819	LOOK
529	see	1409	SEE
530	close (eye)	2063	CLOSE (EYES)
531	open (eye)	1156	OPEN
532	listen	1608	LISTEN
533	eat	1336	EAT
534	drink	731	DRINK (FLUID)
535	bite	1403	BITE
536	chew	321	CHEW
537	lick	319	LICK
538	hold in mouth	1701	RIVER MOUTH
539	gnaw		
540	swallow		
541	swallow		
542	spit	1440	SPIT
543	vomit	1278	VOMIT
544	blow with mouth		
545	say / speak	1458	SAY
546	read	724	READ
547	cry out / yell	1107	GO OUT
548	smell	1586	SMELL (PERCEIVE)
549	take	1749	TAKE
550	strike with open palm	2133	STRIKE OR BEAT
551	grip / hold	1448	HOLD
552	twist together	2482	TOGETHER
553	tear	1735	TEAR (SHRED)
554	wring (e.g. wet cloth)		
555	scratch	1436	SCRATCH
556	pick up	371	PICK UP
557	catch	702	CATCH
558	throw	1456	THROW
559	scatter / broadcast	2064	SCATTER (SEEDS)
560	cast	211	CAST
561	reach out(hand)		
562	pull	1455	PULL
563	push	1452	PUSH
564	hold (baby) in arms		
565	kick	1135	KICK
566	kneel	66	KNEEL
567	tread	575	TREAD
568	jump	1829	JUMP
569	stand	1442	STAND
570	step / pass over (ditch)	1158	STEP
571	ride	367	RIDE
572	walk	1443	WALK
573	run	1519	RUN
574	sit	1416	SIT
575	carry on back	465	CARRY ON BACK
576	go through (a hole)	97	THROUGH
577	fall (down)	1280	FALL
578	crawl	96	CRAWL
579	lean		
580	dwell / live	363	DWELL (LIVE, RESIDE)
581	rest	168	REST
582	sleep	1585	SLEEP
583	wake up	1602	WAKE UP
584	do	813	DO
585	work / labor	984	WORK (LABOUR)
586	repair	2243	REPAIR
587	connect		
588	refine		
589	strike (iron)	353	STRIKE
590	lay (bricks)	2071	LAY (VERB)
591	move something to a new place		
592	carry on a pole (two people)	412	CARRY IN HAND
593	carry on shoulder	413	CARRY ON SHOULDER
594	pry		
595	plough	2154	PLOUGH (INSTRUMENT)
596	rake		
597	dig	1418	DIG
598	plant	653	PLANT (VEGETATION)
599	water		
600	pour (liquid) into		
601	cut	1432	CUT
602	chop (tree)	155	CHOP
603	skin / flay	2373	SKIN (OF FRUIT)
604	cut (firewood)	2155	CUT (WITH SCISSORS)
605	sieve		
606	pull (out)	291	PULL OFF (SKIN)
607	graze		
608	feed		
609	choke	129	CHOKE
610	castrate	2563	CASTRATE
611	milk	93	DRAW MILK
612	lead (animal)	43	LEAD (GUIDE)
613	weave	133	WEAVE
614	spin (yarn)	121	SPIN
615	measure	1506	MEASURE
616	buy	1869	BUY
617	sell	1571	SELL
618	count	1420	COUNT
619	calculate		
620	weigh	1098	WEIGH
621	teach	709	TEACH
622	learn	504	LEARN
623	write	1672	WRITE
624	wipe	1454	WIPE
625	correct / change	1725	CORRECT (RIGHT)
626	paste / glue / stick	1069	GLUE
627	cook / boil (rice)	1100	COOK (SOMETHING)
628	deep-fry		
629	stir-fry		
630	knead (dough)	274	KNEAD
631	dry (clothes) near fire		
632	warm (oneself) near fire		
633	kill	1417	KILL
634	cut (vegetable)	2156	CUT (WITH KNIFE)
635	mince (meat) with knife	2082	KNIFE (CLASSIFIER)
636	cut open (fish)		
637	prick		
638	stir / churn	696	STIR
639	insert / stick into	2085	STICK (CLASSIFIER)
640	sharpen	251	SHARPEN (SOMETHING)
641	grind	1033	GRIND
642	winnow		
643	rub (to soften animal skin)	1449	RUB
644	scoop		
645	strain (tea)	940	STRAIN
646	put on / wear	158	PUT ON
647	take off (clothing)	2104	HOLD OR TAKE
648	wash (hand)	1453	WASH
649	wash (clothes)		
650	bathe	138	BATHE
651	shave (hair of head)	231	SHAVE
652	dye	157	DYE
653	patch		
654	comb	2070	COMB (VERB)
655	braid	1043	BRAID
656	make bed	734	MAKE
657	sweep	230	SWEEP
658	open (door)		
659	open (lid)		
660	put / place	998	PUT
661	hang (object)	357	HANG UP
662	untie	352	UNTIE
663	wrap	1113	WRAP
664	tie (e.g. firewood)into a bund		
665	load	1679	LOAD
666	stuff (hole) up		
667	bury (something)	1719	BURY
668	hide	602	HIDE (CONCEAL)
669	pick / select	2148	PICK
670	pile up (e.g. earth)	1576	PILE UP
671	press	1913	PRESS
672	hammer (nail in)	1481	HAMMER
673	light (candle)	250	LIGHT (COLOR)
674	want	1784	WANT
675	get	694	GET
676	take back / put away	85	GIVE BACK
677	lose / misplace	1660	LOSE
678	search		
679	use	2072	USE (VERB)
680	play	1413	PLAY
681	win	866	WIN
682	lose (a game)		
683	sing	1261	SING
684	dance	1879	DANCE
685	celebrate new year		
686	hunt	1435	HUNT
687	surround		
688	shoot	1172	SHOOT
689	hit (target)	1433	HIT
690	ask / inquire	1309	ASK (INQUIRE)
691	answer	1275	ANSWER
692	borrow / lend	1823	BORROW
693	return	142	RETURN HOME
694	give / send / deliver	1447	GIVE
695	exchange	2509	EXCHANGE
696	marry (a man)	203	MARRY
697	marry (a woman)	2163	MARRY (AS WOMAN)
698	tell	1711	TELL
699	help	1897	HELP
700	save / rescue	2008	RESCUE
701	treat / cure	499	CURE
702	give out / distribute		
703	divide	1119	DIVIDE
704	owe	369	OWE
705	pay indemnity to		
706	wait	1590	WAIT (FOR)
707	encounter / meet	1831	MEET
708	scold	299	SCOLD
709	fight	1423	FIGHT
710	hit / beat	1665	BEAT
711	escape	1615	ESCAPE
712	chase / run after	2330	YEAR AFTER NEXT YEAR
713	drive away	741	DRIVE
714	rob	2073	ROB (VERB)
715	steal	713	STEAL
716	cheat / swindle		
717	laugh	1355	LAUGH
718	weep		
719	love	923	LOVE
720	like	1117	LIKE
721	believe	1890	BELIEVE
722	know	1410	KNOW (SOMETHING)
723	understand	1536	UNDERSTAND
724	guess	1932	GUESS
725	remember	707	REMEMBER
726	forget	1523	FORGET
727	think	1415	THINK (REFLECT)
728	angry	1826	ANGRY
729	hate	1607	HATE
730	fear	781	FEAR (FRIGHT)
731	dare	1779	DARE
732	know (a language) / can / be abl	2248	KNOW (SOMEBODY)
733	be / copula	1579	BE
734	NEG+copula		
735	have	773	HAVE
736	NEG+have		
737	come	1446	COME
738	go	695	GO
739	return / go back	581	COME BACK
740	arrive	1387	ARRIVE
741	cross (river)	1367	CROSS
742	pass by	558	PASS BY
743	ascend		
744	descend		
745	exit		
746	enter	749	ENTER
747	retreat	421	RETREAT
748	exist / be present		
749	dry in the sun	2140	DAY OR SUN
750	rain	1253	RAIN (RAINING)
751	rise (of the sun)	568	RISE (MOVE UPWARDS)
752	set (of the sun)	160	SET (HEAVENLY BODIES)
753	blow (of wind)	175	BLOW (OF WIND)
754	flash (of lightning)	2377	FLASH (VERB)
755	thunder	2378	THUNDER (VERB)
756	flow	2003	FLOW
757	overflow		
758	float	1574	FLOAT
759	crack		
760	collapse		
