ID	LID	DOCULECT	CONCEPT	CONCEPT_ID	CHINESE	CONCEPTICON_ID	VALUE	CROSSREF	PARTIAL_IDS	TOKENS
2461	Allen2007-2461	Lanping	angry	345	生气	1826	xɔ³³kʰɯ⁴⁴	7166	1248 1249	x ɔ ³³ kʰ ɯ ⁴⁴
2462	Allen2007-2462	Qiliqiao	angry	345	生气	1826	xa⁴²kʰɯ³³	7167	1248 1249	x a ⁴² kʰ ɯ ³³
2463	Allen2007-2463	Yunlong	angry	345	生气	1826	tɕʰi³¹tsa³³	7168	1252 1253	tɕʰ i ³¹ ts a ³³
2464	Allen2007-2464	Xiangyun	angry	345	生气	1826	xue³³kʰou³³	7169	1248 1249	x u e ³³ kʰ o u ³³
2465	Allen2007-2465	Luobenzhuo	angry	345	生气	1826	xẽ⁵⁵tsẽ⁵⁵	7170	1248 1254	x ẽ ⁵⁵ ts ẽ ⁵⁵
2466	Allen2007-2466	Zhoucheng	angry	345	生气	1826	tsɿ⁴⁴	0	1562	ts ɿ ⁴⁴
1243	Allen2007-1243	Jianchuan	animal faeces,dung	223	粪	2057	tɕʰi⁵⁵	6619	1036	tɕʰ i ⁵⁵
1244	Allen2007-1244	Eryuan	animal faeces,dung	223	粪	2057	tɕʰi⁵⁵	6620	1036	tɕʰ i ⁵⁵
1245	Allen2007-1245	Heqing	animal faeces,dung	223	粪	2057	tɕʰi⁵⁵	6621	1036	tɕʰ i ⁵⁵
1246	Allen2007-1246	Lanping	animal faeces,dung	223	粪	2057	tɕʰi⁵⁵	6622	1036	tɕʰ i ⁵⁵
1247	Allen2007-1247	Qiliqiao	animal faeces,dung	223	粪	2057	tɕʰi⁵⁵	6623	1036	tɕʰ i ⁵⁵
1248	Allen2007-1248	Yunlong	animal faeces,dung	223	粪	2057	tɕʰi⁵⁵	6624	1036	tɕʰ i ⁵⁵
1249	Allen2007-1249	Xiangyun	animal faeces,dung	223	粪	2057	tɕʰi⁵⁵	6625	1036	tɕʰ i ⁵⁵
1250	Allen2007-1250	Luobenzhuo	animal faeces,dung	223	粪	2057	ʂʅ³³	6626	1037	ʂ ʅ ³³
1251	Allen2007-1251	Zhoucheng	animal faeces,dung	223	粪	2057	tɕʰi⁵⁵	0	1036	tɕʰ i ⁵⁵
982	Allen2007-982	Jianchuan	animal oil	198	动物油(脂肪)	1282	tsɿ⁵⁵	1270	192	ts ɿ ⁵⁵
983	Allen2007-983	Eryuan	animal oil	198	动物油(脂肪)	1282	tsɿ³⁵	1271	192	ts ɿ ³⁵
984	Allen2007-984	Heqing	animal oil	198	动物油(脂肪)	1282	tsɿ⁵⁵	1272	192	ts ɿ ⁵⁵
985	Allen2007-985	Lanping	animal oil	198	动物油(脂肪)	1282	tsɿ⁵⁵	1273	192	ts ɿ ⁵⁵
986	Allen2007-986	Qiliqiao	animal oil	198	动物油(脂肪)	1282	tsɿ³⁵	1274	192	ts ɿ ³⁵
987	Allen2007-987	Yunlong	animal oil	198	动物油(脂肪)	1282	tsɿ³⁵	1275	192	ts ɿ ³⁵
988	Allen2007-988	Xiangyun	animal oil	198	动物油(脂肪)	1282	tsɿ³⁵	1276	192	ts ɿ ³⁵
989	Allen2007-989	Luobenzhuo	animal oil	198	动物油(脂肪)	1282	tʂʅ⁵⁵	1277	192	tʂ ʅ ⁵⁵
990	Allen2007-990	Zhoucheng	animal oil	198	动物油(脂肪)	1282	tsɿ³⁵	0	192	ts ɿ ³⁵
2359	Allen2007-2359	Jianchuan	answer	335	答	1275	ta⁵⁵jɯ̃⁴⁴	7091	1215 1216	t a ⁵⁵ j ɯ̃ ⁴⁴
2360	Allen2007-2360	Eryuan	answer	335	答	1275	ta³⁵jɯ⁴⁴	7092	1215 1216	t a ³⁵ j ɯ ⁴⁴
