ID	TAXA	TAXA_WITH_TONES	CHINESE_TAXA	GLOSS	PINYIN	NUMBER	READING	IPA	TOKENS	ALIGNMENT	PROTO	PROTO_TOKENS	BAXTER	ZGYY	COGID
85	Nanjing	Nánjīng	南京	伐	fá	4	fɑɁ⁵	fɑʔ⁵	f ɑ ʔ ⁵	f - ɑ ʔ ⁵	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
86	Nanning	Nánníng	南宁	伐	fá	4	fat²²	fat²²	f a t ²²	f - a t ²²	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
87	Nanchang	Nánchāng	南昌	伐	fá	4	faɁ⁵	faʔ⁵	f a ʔ ⁵	f - a ʔ ⁵	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
88	Xiamen	Xiàmén	厦门	伐	fá	4	huat⁵huaɁ⁵	huat⁵	h u a t ⁵	h u a t ⁵	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
89	Taibei	Táiběi	台北	伐	fá	4	huatɁ⁴⁴huat⁴⁴	huatʔ⁴⁴	h u at ʔ ⁴⁴	h u at ʔ ⁴⁴	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
90	Hefei	Héféi	合肥	伐	fá	4	fɐɁ⁵	fɐʔ⁵	f ɐ ʔ ⁵	f - ɐ ʔ ⁵	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
91	Huhehaote	Hūhèhàotè	呼和浩特	伐	fá	4	faɁ⁴³	faʔ⁴³	f a ʔ ⁴³	f - a ʔ ⁴³	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
92	Haerbin	Hāěrbīn	哈尔滨	伐	fá	4	fa²⁴	fa²⁴	f a ²⁴	f - a - ²⁴	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
93	Tianjin	Tiānjīn	天津	伐	fá	4	fɑ⁴⁵	fɑ⁴⁵	f ɑ ⁴⁵	f - ɑ - ⁴⁵	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
94	Taiyuan	Tàiyuán	太原	伐	fá	4	faɁ⁵⁴	faʔ⁵⁴	f a ʔ ⁵⁴	f - a ʔ ⁵⁴	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
95	Tunxi	Tūnxī	屯溪	伐	fá	4	fu:ə⁵	fuːə⁵	f uː ə ⁵	f - uː ə ⁵	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
96	Pingyao	Píngyáo	平遥	伐	fá	4	xuʌɁ⁵³	xuʌʔ⁵³	x u ʌ ʔ ⁵³	x u ʌ ʔ ⁵³	bjot⁴	b j o t ⁴	bjot	山合三入月奉	4
